Sample,Tissue,Time,Diet,"CD3pos/gdTCR+/Q1: CD2- , CD8+/CD27+","CD3pos/gdTCR+/Q1: CD2- , CD8+/CD27- ","CD3pos/gdTCR+/Q2: CD2+ , CD8+/CD27+","CD3pos/gdTCR+/Q2: CD2+ , CD8+/CD27-","CD3pos/gdTCR+/Q3: CD2+ , CD8-/CD27+","CD3pos/gdTCR+/Q3: CD2+ , CD8-/CD27-","CD3pos/gdTCR+/Q4: CD2- , CD8-/CD27+","CD3pos/gdTCR+/Q4: CD2- , CD8-/CD27-","CD3pos/gdTCR-/Q1: CD4- , CD8+/CD27+","CD3pos/gdTCR-/Q1: CD4- , CD8+/CD27- ","CD3pos/gdTCR-/Q2: CD4+ , CD8+/CD27+","CD3pos/gdTCR-/Q2: CD4+ , CD8+/CD27- ","CD3pos/gdTCR-/Q3: CD4+ , CD8-/CD27+","CD3pos/gdTCR-/Q3: CD4+ , CD8-/CD27-","CD3pos/gdTCR-/Q4: CD4- , CD8-/CD27+","CD3pos/gdTCR-/Q4: CD4- , CD8-/CD27- "
116_Co_D8_D08_009.fcs,Colon,7,Control,35,93,6245,4488,50,95,36,54,5268,5319,63,28,29,18,96,372
237_Ce_B7_B07_042.fcs,Cecum,21,Control,64,174,1203,4142,329,957,85,180,2078,11955,301,141,74,176,136,382
229_Jej_F6_F06_059.fcs,Jejunum,7,Control,248,93,4074,1193,114,1251,17,45,10068,3389,226,261,98,402,119,864
217_Jej_B2_B02_041.fcs,Jejunum,7,Control,107,67,2158,724,144,534,39,75,8999,6514,50,7,248,24,1392,1429
221_Co_B8_B08_047.fcs,Colon,7,Control,247,128,6241,1141,156,100,175,143,7257,4227,314,339,493,293,542,1460
261_Co_E8_E08_028.fcs,Colon,35,Control,576,200,2990,3559,64,166,74,35,3810,11085,111,66,82,41,147,234
136_Il_E1_E01_034.fcs,Ileum,35,Control,195,50,8014,840,1065,557,125,83,9378,2014,262,545,170,373,300,399
127_Il_C1_C01_006.fcs,Ileum,21,Control,150,93,4728,2053,340,807,113,123,10354,3435,174,142,347,329,542,1328
217_Co_B4_B04_043.fcs,Colon,7,Control,136,81,3389,868,109,70,279,167,12706,4459,227,73,580,104,1292,1397
253_Il_A5_A05_019.fcs,Ileum,35,Control,181,78,4578,951,308,478,79,66,10981,4611,234,211,368,262,1470,1182
221_Il_B5_B05_044.fcs,Ileum,7,Control,526,82,7292,740,486,470,158,107,10132,2535,332,262,800,346,530,1425
127_Jej_C2_C02_007.fcs,Jejunum,21,Control,19,27,1062,547,127,909,33,16,21174,2781,60,29,45,120,150,424
253_jej_A6_A06_020.fcs,Jejunum,35,Control,147,71,3327,1773,311,1164,71,54,15280,5371,82,52,17,78,306,287
127_Co_C4_C04_009.fcs,Colon,21,Control,118,170,6481,6280,168,215,65,99,8063,6466,88,142,163,356,92,585
126_Ce_B7_B07_031.fcs,Cecum,21,Control,111,309,5759,9244,222,1326,26,194,3461,7554,142,131,81,170,165,867
241_Co_F4_F04_053.fcs,Colon,21,Control,186,233,7678,11348,620,1665,104,130,2488,4529,188,81,251,136,301,652
128_Co_C8_C08_013.fcs,Colon,21,Control,547,130,4550,6382,483,1327,103,86,6978,8331,116,86,313,217,298,719
221_Ce_B7_B07_046.fcs,Cecum,7,Control,86,124,9296,3070,151,153,127,97,8426,7547,311,468,309,233,247,714
127_Ce_C3_C03_008.fcs,Cecum,21,Control,154,203,8626,4265,79,108,47,71,8583,9302,166,165,146,308,75,295
137_Co_E8_E08_041.fcs,Colon,35,Control,388,307,5383,9938,650,2151,109,174,3108,9493,88,65,126,223,111,363
128_Jej_C6_C06_011.fcs,Jejunum,21,Control,102,28,2088,255,388,549,65,66,23560,4403,57,54,205,282,159,467
217_Ce_B3_B03_042.fcs,Cecum,7,Control,127,158,6206,3516,106,163,70,77,15715,6739,199,37,224,45,344,654
125_Co_B4_B04_028.fcs,Colon,21,Control,146,83,7317,6774,881,1528,89,90,7042,8660,184,70,153,114,306,1028
257_Co_E4_E04_024.fcs,Colon,35,Control,86,51,3398,3661,84,85,37,21,10803,15066,226,202,297,225,174,277
128_Ce_C7_C07_012.fcs,Cecum,21,Control,549,846,2851,10011,328,1180,107,186,5525,13121,113,126,97,358,81,558
245_Co_F8_F08_057.fcs,Colon,21,Control,373,325,8095,10724,131,544,80,138,4449,10421,87,74,122,69,212,527
114_Co_B8_B08_028.fcs,Colon,7,Control,100,58,12926,1484,933,167,301,100,10639,6062,646,373,1315,502,1168,1121
128_Il_C5_C05_010.fcs,Ileum,21,Control,227,69,2938,762,1627,883,212,147,20114,5893,207,292,452,691,875,2709
138_Co_G4_G04_048.fcs,Colon,35,Control,75,194,3366,4483,155,308,25,45,5534,22899,102,85,113,310,123,398
253_Co_A8_A08_022.fcs,Colon,35,Control,497,169,7665,6271,75,137,166,95,8914,12625,235,204,618,196,260,242
116_Il_D1_D01_002.fcs,Ileum,7,Control,75,154,11258,5066,1651,973,133,203,9487,9082,129,181,343,453,845,3222
249_Co_A4_A04_018.fcs,Colon,35,Control,561,247,8438,8320,514,2211,63,135,9401,12537,244,44,79,30,534,663
233_Ce_B3_B03_038.fcs,Cecum,21,Control,308,255,14468,11703,718,725,206,191,6051,11578,208,325,223,363,118,546
257_Ce_E3_E03_050.fcs,Cecum,35,Control,70,93,4718,6112,26,45,31,16,13380,22515,195,262,101,178,136,320
139_Ce_G7_G07_051.fcs,Cecum,35,Control,333,403,10928,23155,101,1226,20,79,3249,8932,99,188,31,224,63,263
249_Il_A1_A01_015.fcs,Ileum,35,Control,350,157,9756,6407,855,2167,112,145,18108,9095,143,63,99,38,3433,1779
125_Ce_B3_B03_027.fcs,Cecum,21,Control,308,218,8164,16239,340,1538,68,91,8683,15746,137,160,120,256,200,503
245_Ce_F7_F07_056.fcs,Cecum,21,Control,121,293,14437,19999,129,553,52,81,5956,11533,99,53,93,70,121,462
138_Ce_G3_G03_047.fcs,Cecum,35,Control,416,480,4853,13751,131,651,57,90,4254,29717,162,204,113,467,73,208
125_Il_B1_B01_025.fcs,Ileum,21,Control,253,133,9392,2991,2919,2856,307,337,24881,9587,446,591,542,1359,1189,3320
241_Ce_F3_F03_052.fcs,Cecum,21,Control,198,385,24137,25312,595,1313,86,165,5437,9614,87,121,85,187,81,378
253_Ce_A7_A07_021.fcs,Cecum,35,Control,851,1098,13932,19097,88,402,52,114,12585,21407,265,268,87,325,279,623
249_Ce_A3_A03_017.fcs,Cecum,35,Control,639,1000,12710,15301,178,1397,68,315,15172,27032,193,157,73,131,461,1492
